	5-MEF-Mock_S5_L001_R1_001	5-MEF-Mock_S5_L002_R1_001	6-MEF-10uM_S6_L001_R1_001	6-MEF-10uM_S6_L002_R1_001	7-MEF-5uM_S7_L001_R1_001	7-MEF-5uM_S7_L002_R1_001	8-MEF-UIFN_S8_L001_R1_001	8-MEF-UIFN_S8_L002_R1_001
Gm11987	0	0	0	0	0	0	0	0
Gm11988	0	0	0	0	0	0	0	0
Gm11989	4.99918	3.77288	8.71527	7.37681	4.88533	6.29135	3.65588	7.41952
Gm11990	0	0	0	0	0	0	0	0
Gm11991	15.7772	7.40666	14.8654	14.0975	11.3819	13.866	14.2547	8.57108
Gm11992	2	5	5	3	7	5	4	2
Gm11993	2.17813	3.93293	3.82892	1.97467	4.00947	8.24969	0	1.97809
Gm11996	1.57024	0	0	0	0	0	1.57038	0
Gm11997	0	0	0	0	0	0	0	0
Gm12001	0	0	0	0	0	0	0	0
Gm12003	1.03711	2.00377	1.04868	0	1.06993	0	1.02934	0
Gm12004	0	0	0	0	0	0	0	0
Gm12005	0	0	0	0	0	0	1.00489	0
Gm12006	0	0	0	0	0	0	0	0
Gm12007	0	0	0	0	0	0	0	0
Gm12008	0	0	0	0	0	0	0	0
Gm12009	3.00145	1.00037	1.00056	2.0007	1.0005	0	1.00048	2.00037
Gm12010	0	0	0	0	0	0	0	0
Gm12011	0	0	0	0	0	0	1	0
Gm12012	0	0	3	6	0	0	0	0
Gm12013	0	0	0	0	0	0	0	0
Gm12014	0	0	0	0	0	0	0	0
Gm12015	0	0	0	0	0	0	0	0
Gm12016	0	0	0	0	0	0	0	0
Gm12017	4.14982	5.1928	7.25205	5.18125	4.14812	6.22102	5.34494	6.23021
Gm12019	0	0	0	0	0	0	0	0
Gm12020	3.00489	1.00081	4.00639	1.0011	0	2.00139	3.00494	2.00297
Gm12021	3.00484	1.00583	3.00906	2.00004	4.0059	0	1.00403	2.00855
Gm12024	0	0	0	0	0	0	0	0
Gm12025	0	0	0	0	0	0	0	0
Gm12026	1.33746	0	1.16856	1.20403	0	0	0	0
Gm12028	0	0	0	0	0	0	0	0
Gm12029	0	0	0	0	0	0	0	0
Gm12030	0	0	0	0	0	0	0	0
Gm12033	15.689	15.2696	0	19.8765	0	9.2646	39.5465	18.9376
Gm12034	0	0	1.00127	0	1.00358	0	1.00312	0
Gm12035	2.00602	1.00329	3.0097	0	6.02414	4.01239	2.00765	3.00745
Gm12036	0	0	0	0	1	0	0	0
Gm12038	0	0	0	0	0	0	0	0
Gm12039	0	0	0	0	0	0	0	0
Gm12040	0	0	0	0	0	0	0	0
Gm12041	0	0	0	0	0	0	0	0
Gm12042	0	0	0	0	0	0	0	0
Gm12044	0	0	0	0	0	0	0	0
Gm12045	0	0	0	0	0	0	0	0
Gm12046	0	0	0	0	0	0	0	0
Gm12047	0	0	0	0	0	0	0	0
Gm12053	0	0	0	0	0	0	0	0
Gm12057	2	0	1	4	1.00032	0	3	4.00075
Gm12058	1.00017	0	1	0	0	0	0	0
Gm12062	0	0	0	0	0	0	0	0
Gm12067	0	0	0	0	0	0	0	0
Gm12070	276.504	199.16	184.02	195.478	238.878	175.11	192.096	292.606
Gm12071	0	0	0	0	0	0	0	0
Gm12072	0	0	0	0	0	0	0	0
Gm12073	0	0	0	0	0	0	0	0
Gm12074	0	0	0	0	0	0	0	0
Gm12075	0	0	0	0	0	0	0	0
Gm12077	0	0	0	0	0	0	0	0
Gm12079	0	0	0	0	0	0	0	0
Gm12080	5	3	10	9.00411	5	5.00185	11.0063	3
Gm12085	0	0	0	0	0	0	0	0
Gm12086	0	0	0	0	0	0	0	0
Gm12087	0	0	0	0	0	0	0	0
Gm12090	0	1.00008	0	0	1.00044	0	1.00021	0
Gm12091	15.2556	13.5809	18.0098	24.5202	9.92855	9.85594	16.9723	23.7441
Gm12093	0	1	0	0	1	0	0	0
Gm12094	0	1.00635	5.03762	1.008	0	0	6.04655	1.00774
Gm12095	0	0	0	0	0	0	0	0
Gm12096	1.00095	0	0	0	0	0	0	0
Gm12097	1.04701	3.14089	2.12189	1.05545	2.11217	3.1997	9.57077	5.32726
Gm12098	0	1	0	0	0	0	0	0
Gm12099	1	0	0	0	1	1	0	1
Gm12101	0	0	0	0	0	0	0	0
Gm12102	0	0	0	0	0	0	0	0
Gm12103	0	0	0	0	0	0	0	0
Gm12104	0	0	0	1	1	0	0	0
Gm12105	1	0	4.01609	0	1	1	3	1
Gm12106	10	10	3	9	4.0268	8	12	11
Gm12109	0	0	4.00186	0	0	0	2.001	1.0005
Gm12110	0	0	1	0	0	0	0	0
Gm12112	0	0	9.31778	15.8395	0	13.9254	0.127957	0.677764
Gm12115	0	0	0	0	0	0	0	0
Gm12117	0	1.00005	0	0	0	0	0	0
Gm12118	0	0	0	0	0	0	0	0
Gm12123	0	0	0	1	0	0	1	0
Gm12124	0	0	0	0	0	0	0	0
Gm12125	0	0	0	0	0	0	0	0
Gm12129	3.00524	1.00154	2.00452	1.00205	2.00321	0	1.02475	2.00318
Gm12131	0	0	0	0	0	0	0	0
Gm12133	0	0	0	0	0	0	0	0
Gm12134	0	0	0	0	0	0	0	0
Gm12135	0	0	0	0	0	0	0	0
Gm12136	5.00226	1.00023	4.00239	4.00083	7.00292	8.00332	6.00127	5.00212
Gm12137	0	0	0	0	0	0	0	0
Gm12138	12.7826	0	7.06342	14.081	6.55251	6.49956	6.82225	5.87978
Gm12140	0	0	0	0	0	0	0	0
Gm12142	0	0	0	0	0	0	0	0
Gm12143	0	0	0	0	0	0	0	0
Gm12149	0	0	0	0	0	0	0	0
Gm12151	0	0	0	0	0	0	0	0
Gm12152	0	0	0	0	0	0	0	0
Gm12155	0	0	0	0	0	0	0	0
Gm12156	0	0	0	0	0	0	0	0
Gm12161	23.6649	21.462	20.6749	14.0892	23.3312	12.746	22.9159	31.1439
Gm12163	0	0	0	0	0	1	0	0
Gm12164	0	2.01228	2.01397	2.01067	0	0	1.00854	3.01654
Gm12165	1.00181	0	0	0	0	0	0	0
Gm12166	3.94992	0	3.24063	0	0	0	0	0
Gm12168	1.45732	1.36929	1.41743	2.51996	0	2.99845	2.62105	3.79708
Gm12169	0	0	0	0	0	0	0	0
Gm12170	0	0	0	0	0	0	0	0
Gm12173	0	0	0	0	0	0	0	0
Gm12174	5.10495	8.84422	17.842	7.63413	11.4063	3.77414	13.4833	8.8434
Gm12175	0	0	0	0	0	0	0	0
Gm12176	6.07874	4.08666	9.1268	2.04889	6.08933	3.04065	6.14305	7.10237
Gm12178	0	0	0	0	0	0	0	0
Gm12179	0	0	0	0	0	0	0	0
Gm12180	0	0	0	0	1	0	0	0
Gm12181	1	0	0	0	0	0	0	0
Gm12182	5.13607	1.02211	2.49234	0	2.21032	0	1.21106	1.27753
Gm12183	9.57408	8.11176	6.95069	9.64987	6.86198	9.67268	2.72968	6.80559
Gm12184	17.6337	17.8134	36.5005	33.2225	9.3746	9.40014	37.0417	13.9454
Gm12185	1.0006612	2.0007434	2.637397	3.10764	4.313267	1.3034956	12.8255	7.264502
Gm12186	0	2.00039	1.00031	1.00032	3.00279	0	0	0
Gm12187	0	0	0.386248	0	0	0.696684	0	0
Gm12188	0	0	0	0	0	0	0	0
Gm12189	0	0	0	0	0	0	0	0
Gm12190	0	0	0	0	0	0	0	0
Gm12191	117.402	74.5699	280.649	50.1765	36.476	84.6344	455.289	343.282
Gm12192	0	0	0	0	1	0	0	0
Gm12193	0	0	0	0	0	0	0	0
Gm12194	1.00354	0	0	0	1.00309	1.00247	0	1.00319
Gm12196	0	0	0	0	0	0	0	0
Gm12201	0	0	0	0	0	0	0	0
Gm12202	0	0	0	0	0	0	0	0
Gm12203	0	0	0	0	0	0	0	0
Gm12206	0	0	0	0	0	0	0	0
Gm12208	0	0	0	0	0	0	1	0
Gm12209	1	0	0	0	0	0	0	0
Gm12210	0	0	0	0	0	0	0	0
Gm12213	0	0	0	0	0	0	0	0
Gm12216	10	6.000000072	7.999994	10.00001	5	6.99999	13.00001	13
Gm12217	0	0	0	0	0	0	0	0
Gm12218	0	1.42944	0	0	0	1.01961	1.01944	0
Gm12219	0	2.00837	1.0042	0	0	0	2.00752	0
Gm12220	0	0	0	0	0	0	0	0
Gm12221	0	0	0	0	0	0	0	0
Gm12222	0	0	0	0	0	0	0	0
Gm12225	0	0	0	0	0	0	0	0
Gm12226	0	0	0	0	0	0	3.93667	0
Gm12229	1.02136	0	4.1152	1.78001	0	0	0	0
Gm12230	0	0	0	0	0	0	0	0
Gm12231	1.6768	0	1.7595	1.64726	3.25038	1.72933	3.32109	1.66219
Gm12235	0	0	0	0	0	0	0	0
Gm12237	0	0	0	0	0	0	0	0
Gm12240	0	0	0	0	0	0	0	0
Gm12241	0	0	0	0	0	0	0	0
Gm12242	4.02307	0	4.58752	0	0	1.00476	1.00612	1.00587
Gm12244	0	0	0	0	0	0	0	0
Gm12245	0	0	0	0	0	0	0	0
Gm12247	0	4	6.05127	6.06513	6.04194	13.1063	5.05791	4.01069
Gm12248	0	0	2	2	0	1	0	3
Gm12250	1	3	3	2	1	1	3	3
Gm12251	0	1.36512	0	0	1.38091	0	0	0
Gm12252	0	0	0	0	0	0	0	0
Gm12253	0	0	0	1.00013	0	0	2.00143	0
Gm12254	5.57565	2.86388	8.27053	2.93027	0	2.85635	9.04874	2.90889
Gm12255	0	0	0	0	0	0	0	0
Gm12258	161.3122	126.909	192.847	180.474	132.787	140.145	191.056	170.062
Gm12260	0	0	0	1	0	0	1	0
Gm12261	1.00148	0	0	0	0	0	0	0
Gm12262	0	0	0	0	0	0	0	0
Gm12263	0	0	0	0	1.23566	0	0	0
Gm12266	1.00012	0	1.00009	0	0	0	0	0
Gm12267	0	3.00058	0	2.00018	1.00006	0	0	3.0003
Gm12268	0	0	0	0	0	0	0	0
Gm12269	0	0	0	0	0	0	0	0
Gm12271	1.00613	1.00563	2.01134	0	0	1.0052	0	0
Gm12274	0	0	1	0	0	0	0	0
Gm12275	2	0	0	0	1	0	0	0
Gm12276	3	3	5	1	3	0	2	4
Gm12281	0	0	0	0	0	0	0	0
Gm12285	0	0	0	0	0	0	0	0
Gm12286	47.8564	35.5125	25.344	40.8629	38.8792	40.7237	64.7185	55.3561
Gm12287	0	0	0	0	0	0	0	0
Gm12288	0	0	0	0	0	0	0	0
Gm12291	0	0	0	0	0	2.73849	0	0
Gm12293	0	0	0	0	0	0	0	0
Gm12294	0	0	0	0	0	0	0	0
Gm12297	0	0	0	0	0	0	0	0
Gm12303	0	0	0	0	0	0	0	0
Gm12304	0	0	0	0	0	0	0	0
Gm12306	0	0	0	0	0	0	0	0
Gm12307	0	0	0	0	0	0	0	0
Gm12308	0	0	0	0	0	0	0	0
Gm12309	0	0	0	0	0	0	0	0
Gm12310	0	0	0	0	0	0	0	0
Gm12311	0	0	0	0	0	0	0	0
Gm12312	0	0	0	0	0	0	0	0
Gm12313	0	0	0	0	0	0	0	0
Gm12314	1	0	0	0	0	0	1	0
Gm12317	0	0	0	0	0	0	0	0
Gm12318	0	0	0	0	0	0	0	0
Gm12321	0	0	0	0	0	0	0	0
Gm12322	1.56196	1	0	0	2.59716	0	0	0
Gm12327	0	0	0	0	0	0	0	0
Gm12328	0	0	0	0	0	0	0	0
Gm12329	0	0	0	0	0	0	0	0
Gm12331	2.22961	1.12243	2.23288	2.23001	4.48214	0	1.12778	1.12793
Gm12332	0	0	0	0	0	0	0	0
Gm12335	6.27576	3.75914	6.30724	2.55084	10.0888	5.07672	8.78315	8.7339
Gm12337	1.00223	0	0	1.00289	0	0	0	0
Gm12338	0	0	0	0	0	0	0	0
Gm12340	0	0	0	0	0	0	0	0
Gm12341	1.0102	2.01427	8.08657	8.08276	6.05551	3.02499	9.07724	3.02168
Gm12344	0	0	1.32721	0	0	0	0	0
Gm12345	21.6728	12.1824	37.3393	30.4065	23.5771	11.9657	25.3678	14.7809
Gm12346	33.5908	44.5415	35.7243	29.6097	36.7703	37.1286	36.5887	31.9098
Gm12350	7.78774	1.89694	1.96886	1.91801	0	0	0	0
Gm12351	0	0	0	0	0	0	0	0
Gm12353	1	0	2	0	0	1.11302	0	0
Gm12355	5.51371	9.1152	5.65703	3.75354	3.71721	1.86012	9.2492	5.54581
Gm12358	0	0	0	0	0	0	0	0
Gm12361	0	0	0	0	0	0	0	0
Gm12362	0	0	0	0	0	0	0	0
Gm12363	0	0	0	0	0	0	0	0
Gm12365	0	0	0	0	0	0	0	0
Gm12366	62.7323	40.4269	65.3783	85.2914	77.5273	60.3282	75.9144	92.7312
Gm12368	0	0	0	0	0	0	0	0
Gm12369	0	0	0	0	0	0	0	0
Gm12370	0	0	0	0	0	0	0	0
Gm12372	1.67812	0	1.63714	0	1.68242	0	3.434	0
Gm12375	0	0	0	0	0	0	0	0
Gm12376	0	0	0	0	0	0	0	0
Gm12377	0	0	0	0	0	0	0	0
Gm12378	0	0	0	0	0	0	0	0
Gm12379	0	0	0	0	0	0	0	0
Gm12380	0	0	1.00167	0	0	0	0.284557	0
Gm12382	0	0	1	0	0	1	0	1.00007
Gm12383	0	0	0	0	0	0	0	0
Gm12384	0	0	0	0	0	0	0	0
Gm12385	0	0	0	1	0	0	1.20047	0
Gm12386	0	0	0	0	0	0	0	0
Gm12387	2.0362	0	0	0	0	1.02136	1.0179	0
Gm12388	4	2	1	1	1	4	2	3
Gm12389	1.00181	0	0	0	0	0	1.00145	0
Gm12390	1	1	1	0	0	0	1.00021	0
Gm12391	0	0	0	0	0	1	0	0
Gm12392	0	0	0	0	0	0	0	0
Gm12393	0	0	0	0	0	0	0	0
Gm12394	0	0	2	0	0	0	0	2
Gm12396	0	0	9.03374	4.45064	20.3094	24.1043	9.19132	2.86499
Gm12397	58.1663	67.5327	77.9709	99.2849	92.3027	78.23	90.3607	56.149
Gm12399	0	0	0	0	0	0	0	0
Gm12400	0	0	0	0	0	0	0	0
Gm12401	0	0	0	0	0	0	0	0
Gm12402	0	0	0	0	0	0	0	0
Gm12403	3.0011	1.00015	1.00029	2.04594	3.00091	3.00079	2.14934	1.00017
Gm12407	0	0	0	1	0	0	0	0
Gm12411	17.5413	15.055	13.3382	6.65664	4.23452	6.30007	11.9552	15.8721
Gm12412	0	0	0	0	0	0	0	0
Gm12413	0	0	0	0	0	0	0	0
Gm12416	28.5492	19.0074	14.855	34.5454	28.7005	20.4621	24.3134	38.9287
Gm12417	0	0	0	0	0	0	0	0
Gm12418	0	3.64366	0	1.90154	0	2.33985	2.23963	2.46018
Gm12419	0	2.17586	2.17118	1.08648	0.0617389	0	7.51104	0
Gm12420	1.00133	0	0	0	1	1	1.00102	1.00107
Gm12421	0	0	0	0	0	0	0	0
Gm12422	0	0	0	0	0	0	0	0
Gm12423	0	0	0	0	0	0	0	0
Gm12424	6.95819	4.57304	5.62209	5.95749	3.35193	5.09696	3.54222	1.59214
Gm12425	0	0	0	0	0	0	0	0
Gm12427	0	0	0	0	0	0	0	0
Gm12428	0	0	0	0	1.40793	0	1.4236	0
Gm12430	0	0	1.07837	1.08777	1.13019	0	0	0
Gm12431	0	0	0	0	0	0	0	0
Gm12432	0	0	0	0	0	0	0	0
Gm12433	0	0	0	0	0	0	0	0
Gm12435	19.3747	14.9168	21.5059	15.0284	5.001	37.8404	19.235	28.4633
Gm12438	0	0	0	0	0	0	0	0
Gm12439	4.60497	4.62823	5.00286	1	0	2.00184	2	3.35929
Gm12441	0	0	0	0	0	0	0	0
Gm12442	0	0	0	0	0	0	0	0
Gm12443	0	0	0	0	0	0	0	0
Gm12444	0	1.05598	1.07327	0	0	0	1.06768	0
Gm12445	1	1.00061	0	3	0	0	0	1
Gm12447	4.48486	1.12827	1.11125	4.43129	1.53828	1.11742	2.2326	0
Gm12448	0	0	0	0	0	0	0	0
Gm12449	0	0	0	0	0	0	0	0
Gm12451	0	0	0	0	0	0	0	0
Gm12452	0	0	0	0	0	0	0	0
Gm12453	0	0	0	0	0	0	0	0
Gm12455	2	1	0	0	0	0	1	1
Gm12458	1.01054	1.00987	0	0	1.01187	1.0112	3.03098	0
Gm12459	0	0	0	0	0	0	0	0
Gm12460	0	0	0	1.00288	0	1.0027	1.00329	1.002
Gm12461	2.00018	3.00028	3.00016	5	2	1	0	3
Gm12463	2	0	0	0	1	0	0	0
Gm12464	0	0	0	0	0	0	0	1
Gm12465	0	0	0	0	0	0	0	0
Gm12466	0	1.00133	1.00173	2.00269	2.00357	0	0	0
Gm12467	0	0	0	0	0	0	0	0
Gm12468	0	0	1.0027	0	0	2.00416	1.00251	0
Gm12469	0	0	0	0	0	0	0	0
Gm12470	0	0	0	0	0	1	2	1
Gm12475	0	0	0	0	0	0	0	0
Gm12477	0	0	0	0	0	0	0	0
Gm12479	1	0	0	1	1.00045	2.00092	1.00034	0
Gm12481	264.305	208.153	145.383	174.055	239.429	192.782	338.089	226.889
Gm12482	1.00698	1.0073	4.04369	4.03105	3.02671	1.00895	4.02314	2.0099
Gm12485	0	0	0	0	0	0	0	0
Gm12486	0	0	0	0	0	0	0	0
Gm12488	0	0	0	0	0	0	1	0
Gm12489	0	0	0	0	0	0	0	0
Gm12490	0	0	0	0	0	0	0	0
Gm12492	0	0	0	0	1.00189	1.00341	0	0
Gm12494	0	1	0	0	0	0	0	0
Gm12495	0	0	0	0	0	0	0	0
Gm12497	0	0	0	0	0	0	0	0
Gm12499	0	0	0	0	0	0	0	0
Gm12501	0	0	0	0	0	2.00666	0	2.0054
Gm12502	0	0	0	0	1.13158	1.16587	0	0
Gm12504	11.08125	9.034537	2.04925	9.04992	6.028935	5.026986	8.05023	12.04931
Gm12507	0	0	0	0	0	0	0	0
Gm12508	1.16644	1.17857	0	2.35486	0	0	2.32673	0
Gm12509	0	0	0	0	0	0	0	0
Gm12512	0	0	0	0	0	0	0	0
Gm12513	0	0	0	0	0	0	0	0
Gm12515	0	0	0	0	0	0	0	0
Gm12516	1	2	0	1	1	1	0	2.0003
Gm12517	0	0	3	1	0	0	1	1.00008
Gm12518	0	0	0	0	0	0	0	0
Gm12520	0	0	0	0	0	0	0	0
Gm12527	0	0	0	0	0	0	1	0
Gm12529	0	0	0	0	0	0	0	0
Gm12535	0	0	0	0	0	0	0	0
Gm12537	0	18.8465	21.0582	20.187	0	9.4077	9.67526	0
Gm12538	0	0	0	1.05792	0	0	0	0
Gm12539	0	0	0	0	0	0	0	0
Gm12540	0	0	0	1	0	0	0	1
Gm12543	7.3569	5.77298	1.38758	7.73594	6.59184	1.9303	0	5.39349
Gm12550	0	0	0	0	0	0	0	0
Gm12551	0	0	0	0	0	0	0	0
Gm12564	0	0	0	0	1	0	0	0
Gm12565	2.01075	2.00628	2.00621	1.00361	1.00202	1.00141	2.00695	1.00306
Gm12566	0	0	0	0	0	0	0	0
Gm12568	0	1.04161	0	1.00105	0	0	2.04573	1.00144
Gm12570	0	0	1	0	1	0	0	1.00064
Gm12571	0	0	0	0	0	0	0	0
Gm12573	0	0.5	0.5	1	0	0.5	1	2
Gm12577	0	0	0	0	0	0	2.00397	1.00585
Gm12578	0	0	0	0	0	0	0	0
Gm12579	1.01929	0	0	0	0	0	0	0
Gm12582	0	0	0	0	0	0	0	0
Gm12583	2.00362	0	5.00778	3.00418	3.005	0	1.00134	1.00184
Gm12584	0	0	1.00255	0	0	0	0	0
Gm12585	0	0	0	0	0	0	0	0
Gm12586	7	10	11	6	6	7	7	12
Gm12587	0	0	0	0	0	0	0	0
Gm12591	1	4	4	7.06077	1.02028	4.00953	4	3.02175
Gm12593	1.00006	0	1	0	0	1	1.0001	0
Gm12598	0	1	0	0	0	0	0	0
Gm12599	0	1.59361	0	0	0	0	0	0
Gm12601	0	0	0	0	0	0	0	0
Gm12604	0	0	0	0	0	0	0	0
Gm12607	0	0	0	0	1	0	1	0
Gm12608	0	0	1.00006	2	6	1	3	2
Gm12611	0	0	0	0	1	0	0	0
Gm12612	0	0	0.119789	0	0	0	0	0
Gm12613	0	0	0	0	0	0	0	0
Gm12614	0	0	0	0	0	0	0	0
Gm12615	0	0	0	0	0	0	0	0
Gm12616	0	0	0	0	0	0	0	0
Gm12617	0	0	1	0	0	0	0	0
Gm12618	2.00409	0	0	2.00395	1.00274	0	1.19506	0
Gm12619	0	0	0	0	0	0	0	0
Gm12620	0	0	0	0	0	0.294492	0.2539	0
Gm12621	0	0	0	0	0	0	0	0
Gm12622	0	0	0	0	0	0	0	0
Gm12623	0	0	0	0	0	0.758365	0.794208	0
Gm12624	0	0	0	0	0	0	0	0
Gm12625	0	0	0	0	0	0	0	0
Gm12626	0	0	1.06764	0	0	0	0	0
Gm12627	0	0	0	0	0	0	0	0
Gm12628	0	0	0	0	0	0	0	0
Gm12630	1.00111	0	3.00422	2.00257	3.00385	0	4.00602	0
Gm12632	0	0	2.00079	0	0	0	1.00055	0
Gm12633	0	0	0	0	0	0	0	0
Gm12634	0	0	0	0	0	0	0	0
Gm12635	0	0	0	0	0	0	0	0
Gm12636	0	0	0	0	0	0	0	0
Gm12638	0	0	0	0	0	0	0	0
Gm12639	0	0	0	0	0	0	0	0
Gm12640	0	0	0	0	0	0	0	0
Gm12641	0	0	0	0	1	0	0	0
Gm12642	0	0	0	0	0	1.00191	2.00466	0
Gm12643	0	1.01321	2.01637	2.01996	1.1196	0	0	0
Gm12644	0	0	0	0	0	0	0	0
Gm12645	0	0	0	0	0	0	0	0
Gm12646	0	0	0	0	0	0	0	0
Gm12647	0	0	0	0	0	0	0	0
Gm12650	0	0	0	0	0	0	0	0
Gm12653	1	0	4	0	2	2	2	1
Gm12654	0	0	0	0	0	0	0	0
Gm12656	0	0	0	0	0	0	0	0
Gm12657	2.86591	4.2542	1.43782	4.4288	5.82923	0	2.89414	5.58296
Gm12661	0	0	0	0	1.00003	0	0	0
Gm12663	28.1482	23.2643	54.4308	46.5441	42.2139	33.2029	36.6891	33.2704
Gm12664	0	0	0	0	0	0	0	0
Gm12666	24.7035	26.9027	34.603	29.4372	24.7106	30.8913	39.9403	41.2807
Gm12667	0	0	1	0	0	0	0	0
Gm12669	0	0	4.00926	0	0	0	0	0
Gm12671	0	0	0.527403	7.10156e-05	3.15833e-07	1.76068e-07	2.85475e-05	8.11994e-06
Gm12677	0	0	0	0	0	0	0	0
Gm12683	0	0	0	0	0	0	0	0
Gm12684	0	0	0	0	0	0	0	0
Gm12685	0	0	0	0	0	0	0	0
Gm12686	0	0	0	0	0	0	0	0
Gm12687	0	0	0	0	0	0	0	0
Gm12689	2	1	2	0	0	0	1	0
Gm12691	0	0	0	0	0	0	0	0
Gm12692	0	0	0	0	0	0	0	0
Gm12693	0	0	0	0	9.52039	0	0	0
Gm12695	1	2	0	0	0	0	0	0
Gm12696	249.043	245.395	370.956	347.046	251.517	237.58	350.491	330.931
Gm12697	0	0	0	0	0	0	0	0
Gm12700	0	0	0	0	0	0	0	0
Gm12704	3.02095	4.03315	1.00835	5.04972	3.02089	0	1.00886	1.00745
Gm12706	0	0	0	0	0	0	0	0
Gm12710	0	0	0	0	0	0	0	0
Gm12712	2.53122	4.38439	5.49623	0	8.86105	2.19107	3.47886	4.34028
Gm12713	0	0	0	0	0	0	0	0
Gm12715	41.8232	79.5098	39.7065	40.1641	102.685	64.5282	76.3338	46.9259
Gm12716	0	0	0	1	0	0	0	0
Gm12717	0	0	0	0	0	0	0	0
Gm12719	0	0	0	0	0	0	0	0
Gm12721	0	0	0	0	0	0	1	0
Gm12722	0	0	0	0	0	0	0	1.01061
Gm12723	0	0	0	0	0	0	0	0
Gm12726	1.00269	1.19292	1.00246	4.00942	0	2.00818	1.00427	1.00257
Gm12727	0	0	0	0	0	0	1.0588	0
Gm12728	1.09309	0	0	0	1.00187	0	2.00282	1.00158
Gm12731	0	0	0	0	0	0	0	0
Gm12732	0	0	0	0	0	0	0	0
Gm12733	1.0004	0	1.00045	0	0	0	0	0
Gm12734	0	1.16681	1.11891	0	0	0	1.12921	1.13135
Gm12736	0	0	0	0	0	0	0	0
Gm12738	0	0	0	0	0	0	0	0
Gm12739	0	1	1	3	1	1	0	1
Gm12740	0	0	0	0	0	0	0	0
Gm12741	0	1.00012	0	1.00016	0	0	0	1
Gm12742	0	0	0	0	0	0	0	0
Gm12745	0	0	0	0	0	0	0	0
Gm12748	0	0	0	0	0	0	0	0
Gm12749	0	1	0	0	0	0	0	0
Gm12751	133.522	94.2243	101.648	119.596	96.988	114.542	120.602	138.359
Gm12752	0	1	0	0	0	0	1	0
Gm12754	0	0	0	0	0	0	0	0
Gm12755	0	0	0	0	0	0	0	1
Gm12757	0	0	1.00003	1.00017	0	0	1.00786	0
Gm12760	1.00051	0	0	0	0	1	0	0
Gm12765	0	0	0	0	0	0	0	0
Gm12768	0	0	0	0	0	0	0	0
Gm12770	0	0	0	0	0	0	0	0
Gm12771	0	0	0	0	0	0	0	0
Gm12773	0	0	0	0	0	0	0	0
Gm12774	0	0	0	0	0	0	1	1
Gm12778	0	1.00185	0	1.00227	0	0	1.00301	1.00262
Gm12779	0	0	0	0	0	0	0	0
Gm12780	0	0	0	0	0	0	0	0
Gm12782	0	0	0	0	0	0	0	0
Gm12783	0	0	0	0	0	0	1	0
Gm12785	0	0	0	0	0	0	0	0
Gm12787	0	0	0	0	0	0	0	0
Gm12788	3	1	2	1	2	2	3	1
Gm12789	5	2	3.02756	5	4	2	5	0
Gm12790	0	0	0	0	0	0	0	0
Gm12791	0	1.34001	0	0	0	0	0	0
Gm12792	0	0	0	0	0	0	1	0
Gm12793	0	0	0	0	0	0	0	0
Gm12794	0	1	2	0	0	0	0	0
Gm12795	0	0	0	0	0	0	0	0
Gm12797	0	0	0	0	0	0	0	0
Gm12799	0	1.43799	4.24258	0	0	2.8142	2.94338	1.42399
Gm128	0	1	1	0	1	0	2	2
Gm12800	0	0	0	0	0	0	0	0
Gm12803	0	0	0	0	0	0	0	0
Gm12804	0	0	0	0	0	0	1.15596	1.13328
Gm12805	0	0	0	0	0	0	0	0
Gm12806	0	0	0	0	0	0	0	0
Gm12807	1.01151	1.00876	0	0	0	0	0	0
Gm12808	0	0	0	0	0	0	0	0
Gm12813	0	0	0	0	0	0	0	0
Gm12814	0	0	0	0	0	0	0	0
Gm12815	0	0	0	0	0	0	0	0
Gm12816	4.80061	6.38241	7.8514	7.27338	2.82231	7.2606	4.45845	6.43372
Gm12817	0	0	0	0	0	0	0	0
Gm12818	0	1.04789	0	0	0	0	0	0
Gm12819	0	0	0	0	0	0	0	0
Gm12820	0	0	0	0	0	0	0	0
Gm12821	0	0	0	0	0	0	1	0
Gm12825	0	0	0	0	0	0	0	0
Gm12826	0	0	0	0	0	0	0	0
Gm12830	0	0	0	0	0	0	0	0
Gm12833	0	0	0	0	0	0	0	0
Gm12834	0	0	0	0	0	0	0	0
Gm12837	0	0	0	0	0	0	0	0
Gm12838	1	1.00022	1	0	1	0	0	0
Gm12842	0	1	1.00006	0	0	3	3	2.0001
Gm12844	0	0	2.58283	0	0	0	4.65618	2.37899
Gm12845	0	0	0	0	0	0	0	0
Gm12846	1.00048	2.00118	0	0	0	0	1.00117	1.00135
Gm12848	0	0	0	0	0	0	0	0
Gm12849	0	0	0	0	0	0	0	0
Gm12850	0	0	0	0	0	0	0	0
Gm12851	0	0	0	0	0	0	0	0
Gm12852	0	0	3.0007	0	0	2.0009	1.00021	1.00027
Gm12854	0	1.53581	0	0	0	0	0	0
Gm12855	0	0	0	1	0	0	0	0
Gm12856	1.33642	0	4.76843	6.44211	0	3.76446	0	0
Gm12857	0	0	0	0	0	0	0	0
Gm12858	0	0	0	0	0	0	0	0
Gm12859	0	2	0	0	0	0	0	0
Gm12864	0	0	0	0	0	0	0	0
Gm12870	0	1.00713	0	0	0	1.00721	0	1.00907
Gm12871	0	1	0	0	0	0	1	1
Gm12872	0	0	0	0	0	0	0	0
